Grid ID 2019,Accidental Fires,Agriculture,Aviation,Biomass,Commercial Cooking,Construction,Forestry,Gas Leakage,Heat and Power Generation,Industrial Processes,Machinery,Rail,Resuspension,River,Road Transport,Waste,nox,nox_hotspot
100,0.0,0.185739096662602,0.0,0.0,0.0,0.0,0.0,0.0,0.698601961652771,0.021981491,0.0259194546264069,0.0,0.0,0.0,34.966580090760765,0.0057766281040631,35.90459872280661,1
101,0.0,0.152514786108611,0.0,0.0,0.0,0.0,0.0,0.0,0.6986022480604899,0.0,0.0038399204693995,0.0,0.0,0.0,2.2963038324546403,6.01239899591806e-05,3.1513209110830998,0
102,0.0,0.138495770861468,0.0,0.0,0.0,0.0,0.0,0.0,1.5437642438833812,0.0,0.004799861293364,0.0,0.0,0.07665,1.6829480191965038,7.51543862066712e-05,3.446733049620924,0
103,0.0,0.0193813666205733,0.0,0.0,0.0,0.0,0.0,0.0,3.97008364628031,0.014423719,0.0844782161586297,2.1790717859999997,0.0,0.00268,6.239485939397676,0.0040786758228252,12.513683349280015,0
104,0.0,0.0030798816490334,0.0,0.0,0.0,0.0,0.0,0.0,5.02023560556977,0.07489672,0.0681585592889056,2.558708559,0.0,0.0,7.379014626931352,0.0047539875252962,15.108847939964358,0
105,0.0,0.0048911563168602,0.0,0.0,0.0,0.0,0.0,0.0,6.318251700365596,1.18926628,0.063358656993748,0.008050295,0.0,0.0,3.9843604469226586,0.0770607852503956,11.645239320849258,0
106,0.0,0.109183144996078,0.0,0.0,0.0,0.0,0.0,0.0,3.2461418531033353,0.017359262,0.0249592746253135,0.0,0.0,0.0,29.771913676807646,0.0013779244997383,33.170935136032114,1
107,0.0,0.23931619398473,0.0,0.0,0.0,0.0,0.0,0.0,2.3362895347929076,0.002787847,0.0047998954615252,0.0,0.0,0.0,6.852809216196523,7.58326103082304e-05,9.436078520045994,0
108,0.0,0.348666885137511,0.0,0.0,0.0,0.0,0.0,0.0,2.3411658890775087,0.0,0.0134397182260824,0.0,0.0,0.0,4.800178005846761,0.0002104339648571,7.50366093225272,0
109,0.0,0.287223328914598,0.0,0.0,0.0,0.0,0.0,0.0,2.389262513503139,0.005296871,0.0249594728006489,0.0,0.0,0.0,0.7636356279531833,0.000576180505257,3.470953994676826,0
110,0.0,0.241221873643872,0.0,0.0,0.0,0.0,0.0,0.0,2.13112211897995,0.0,0.0182394701813303,0.0,0.0,0.0,1.618373099028063,0.0005125102477546,4.00946907208097,0
111,0.0,0.259430797249209,0.0,0.0,0.0,0.0,0.0,0.0,0.7574695535345584,0.165195115,0.0153595520385855,0.0,0.0,0.0,2.7679723512420145,0.0002404940358613,3.9656678631002285,0
112,0.0,0.375503582323515,0.0,0.0,0.0,0.0,0.0,0.0,0.7143732829884005,0.0,0.0067198591130412,0.0,0.0,0.0,0.9808936159378322,0.0001052169824285,2.077595557345217,0
113,0.0,0.127821799029093,0.0,0.0,0.0,0.0,0.0,0.0,0.7246511586559211,0.137941881,0.0134397182260824,0.0,0.0,0.0,1.0119131917100774,0.0003568066257585,2.0161245552469325,0
114,0.0,0.0103249284759456,0.0,0.0,0.0,0.0,0.0,0.0,0.7853807030919213,0.0,0.0019199431506191,0.0,0.0,0.0,0.9976676886688854,3.00617544826685e-05,1.795323325141854,0
115,0.0,0.0030798816490334,0.0,0.0,0.0,0.0,0.0,0.0,0.8827451391826355,0.0,0.0009599818257579,0.0,0.0,0.0,4.017049879764514,1.50309974897952e-05,4.903849913419431,0
116,0.0,0.0501730618958261,0.0,0.0,0.0,0.0,0.0,0.0,0.8595873624079133,0.0,0.0163196568697241,0.0,0.0,0.0,0.5384230197924708,0.0002555269573265,1.4647586279232607,0
117,0.0,0.174250095083631,0.0,0.0,0.0,0.0,0.0,0.0,0.8927388675147983,0.018223203,0.0134397182260824,0.0,0.0,0.0,0.9886928857419284,0.0002104339648571,2.087555203531297,0
118,0.0,0.194268907357833,0.0,0.0,0.0,0.0,0.0,0.0,0.7788628122689868,0.0,0.0316790790692967,0.0,0.0,0.0,1.5395944599877562,0.0018895723186176,2.5462948310024904,0
119,0.0,0.272208075403692,0.0,0.0,0.0,0.0,0.0,0.0,0.3000790475714225,0.0,0.0095997977566828,0.0,0.0,0.0,17.947460711940888,0.0001503099748979,18.529497942647584,0
120,0.0,0.435660907085795,0.0,0.0,0.0,0.0,0.0,0.0,0.23146319793399658,0.0,0.0019199568178836,0.0,0.0,0.0,0.5141770349527516,3.00619949795903e-05,1.1832511587854064,0
121,0.0,0.244224974781017,0.0,0.0,0.0,0.0,0.0,0.0,0.2349998537896359,0.0,0.0038399204693995,0.0,0.0,0.0,5.938551017772031,6.01239899591806e-05,6.421675890802043,0
122,0.0,0.342276559112068,0.0001257235732002,0.0,0.0,0.0,0.0,0.0,0.2349402408628211,0.0,0.0019199431506191,0.0,0.0,0.0,30.777859322705385,3.00617544826685e-05,31.357151851158577,1
123,0.0,0.445338633996938,0.0033321987411704,0.0,0.0,0.0,0.0,0.0,0.2315058297000431,0.0,0.0009599818257579,0.0,0.0,0.0,3.7289359666785904,1.50309974897952e-05,4.41008764193999,0
124,0.0,0.297858980829843,0.0,0.0,0.0,0.0,0.0,0.0,0.9887711936036507,0.0,0.0038399751384576,0.0,0.0,0.0,31.116376401648495,6.0124831698407e-05,32.406906676052145,1
125,0.0,0.287223897368287,0.0,0.0,0.0,0.0,0.0,0.0,0.7366230312941351,0.0,0.0047999091287898,0.0,0.0,0.0,0.6941972416135701,7.51551377595519e-05,1.7229192345425417,0
126,0.0,0.148080305371178,0.0,0.0,0.0,0.0,0.0,0.0,0.698608877855039,0.0,0.0047999637978478,0.0,0.0,0.0,2.0306732249919848,7.51560396230087e-05,2.8822375280556725,0
127,0.0,0.130781261322765,0.0,0.0,0.0,0.0,0.0,0.0,0.6986089477156561,0.0,0.0009599954930224,0.0,0.0,0.0,0.16748383148728987,1.50312079246017e-05,0.9978490672266579,0
128,0.0,0.0915001501332482,0.0,0.0,0.0,0.0,0.0,0.0,2.386059906671398,0.0,0.0,0.0,0.0,0.06181,0.07013608246873364,0.0,2.6095061392733796,0
129,0.0,0.0393059064106181,0.0,0.0,0.0,0.0,0.0,0.0,3.892262748709148,0.0,0.0710394888092244,0.0,0.0,0.0,2.3571372665930657,0.0018004260745528,6.361545836596609,0
130,0.0,0.0030798816490334,0.0,0.0,0.0,0.0,0.0,0.0,5.48112413446785,0.250826233,0.0508796381248105,2.948825102,0.0,0.0,10.838469083462124,0.0070025956250058,19.580206668328824,0
131,0.0,0.0366371113829353,0.0,0.0,0.0,0.0,0.0,0.0,5.381923735680783,0.271420894,0.0268798054683067,1.7747230790000001,0.0,0.0,8.330823980600472,0.006474339577468,15.828882945709966,0
132,0.0,0.0860663131686691,0.0,0.0,0.0,0.0,0.0,0.0,2.995198854118627,0.014678033,0.0508790230979074,0.0,0.0,0.0,3.1829419702165884,0.0015412757028888,6.331305469304681,0
