Grid ID 2019,Easting,Northing,Zone,Borough,co2_Accidental Fires,co2_Agriculture,co2_Aviation,co2_Biomass,co2_Commercial Cooking,co2_Construction,co2_Forestry,co2_Gas Leakage,co2_Heat and Power Generation,co2_Industrial Processes,co2_Machinery,co2_Rail,co2_Resuspension,co2_River,co2_Road Transport,co2_Waste,nox,pm10,pm2.5,nox_hotspot
42,509500,200500,Non GLA,Non GLA,0.0,3.12938662846361,0.0,0.0,0.0,0.0,0.0,0.26699,2977.4853135667317,0.231013329,2.82420118138426,0.0,0.0,0.0,614.9947092675804,0.0,4.067083763211262,0.5000393502294526,0.3137299123301479,0
43,510500,200500,Non GLA,Non GLA,0.0,0.312938513560373,0.0,0.0,0.0,0.0,0.0,0.32307,7036.2051537624175,0.224114545,10.3554037733022,0.0,0.0,0.0,2324.4264851834632,0.0,9.909342667699336,2.0224285237961563,1.3241717624551141,0
44,511500,200500,Non GLA,Non GLA,0.0,1.98194466564563,0.0,0.0,0.0,0.0,0.0,0.30805,5544.278084222812,0.0,9.06097767339438,0.0,0.0,0.0,3599.1891754011654,0.0,12.538780851941315,2.552578993345873,1.5138768507830807,0
45,512500,200500,Non GLA,Non GLA,0.0,2.50347899771527,0.0,0.0,0.0,0.0,0.0,0.07869,2324.257658977563,1.548131789,3.64788240918943,2.024041204,0.0,0.0,7292.102051855954,0.0,18.99998630025808,2.4599534353945414,0.8983292534168784,0
46,513500,200500,Non GLA,Non GLA,0.0,7.40621521974519,0.0,0.0,0.0,0.0,0.0,0.00097,850.4186538792139,0.0,0.353025147673033,0.0,0.0,0.0,129.28083109195506,0.0,1.9611418763216208,0.19977335314553007,0.14670548372614609,0
47,514500,200500,Non GLA,Non GLA,0.0,9.28384704753737,0.0,0.0,0.0,0.0,0.0,0.0008,1112.5097047055838,0.0,0.941400114574721,0.0,0.0,0.0,41.861441180581984,0.0,2.817685260796908,0.18637699992660678,0.15143042459624034,0
48,515500,200500,Non GLA,Non GLA,0.0,6.36308609478068,0.0,0.0,0.0,0.0,0.0,0.10672,2567.629804783208,0.030701682,3.88327662440336,36.497183250000006,0.0,0.0,340.77368811793525,0.0,3.838331970042721,0.5375703307031291,0.3989827676152671,0
49,516500,200500,Non GLA,Non GLA,0.0,3.54659543337079,0.0,0.0,0.0,0.0,0.0,0.22714,4077.8974257038853,2.227959963,7.41343847150304,855.8226909,0.0,0.0,1424.2732957878882,0.0,12.807312611241917,1.5599227835256544,0.9644247524664875,0
50,517500,200500,Non GLA,Non GLA,0.0,8.55365718256317,0.0,0.0,0.0,0.0,0.0,0.02491,1224.6313279779536,0.0,0.706050295346066,0.0,0.0,0.0,332.6977756162244,0.0,3.0469308149190755,0.36353739728776263,0.24464447597577346,0
51,518500,200500,Non GLA,Non GLA,0.0,6.15446041907376,0.0,0.0,0.0,0.0,0.0,0.17001,2388.813720386909,12.85709008,3.64792596751461,0.0,0.0,0.0,900.0928762162274,0.0,4.861945061751471,0.7044680978379108,0.40216401446953975,0
52,519500,200500,Non GLA,Non GLA,0.0,7.51043773957576,0.0,0.0,0.0,0.0,0.0,0.07949,1707.594590923473,0.496553146,2.35347222482347,0.0,0.0,0.0,386.82559543741075,0.0,3.14949492833876,0.42047212621649743,0.26549133026126276,0
53,520500,200500,Non GLA,Non GLA,0.0,9.70109914538114,0.0,0.0,0.0,0.0,0.0,0.00107,637.8508515132585,0.0,0.0,0.0,0.0,0.0,48.344897952719876,0.0,2.228296233692709,0.20086233793861957,0.16428293076194175,0
54,521500,200500,Non GLA,Non GLA,0.0,8.13640583114934,0.0,0.0,0.0,0.0,0.0,0.03367,767.403831522011,0.0,2.1181508860382,0.0,0.0,0.0,5347.1652869615455,0.0,11.9187339530849,2.266831981934372,0.5914150259247327,0
55,522500,200500,Non GLA,Non GLA,0.0,4.38114142913504,0.0,0.0,0.0,0.0,0.0,0.05711,833.018245453341,0.0,2.70652585293989,0.0,0.0,0.0,17006.618057763997,0.0,34.6639291550958,7.758622862351208,1.9702890615373043,1
56,523500,200500,Non GLA,Non GLA,0.0,8.76217761164837,0.0,0.0,0.0,0.0,0.0,0.07707,1764.701526557022,0.0,1.41208383749014,0.0,0.0,0.0,1551.8472954048866,0.0,5.4290952273155,1.5357620724811722,0.8452342870873795,0
57,524500,200500,Non GLA,Non GLA,0.0,5.21564487839264,0.0,0.0,0.0,0.0,0.0,0.15691,3391.2722778487628,0.0,5.29537637743539,0.0,0.0,0.0,14219.904730876231,0.0,28.642800728031883,6.35275150157083,1.6713534280352356,1
