Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2,cluster,cluster_name
1852,553500,185500,Havering,Outer,0.0001024316609496,0.0043786214845256,0.0,0.0,0.0,0.0290801155457297,0.0,0.0,0.3735885171944235,0.0018614661274154,0.0066865441053687,0.0024857723507446,0.0,0.0,0.5816124224411137,0.0002041090897286,7.321954882372077,1.5357096002538229,1.070265779079903,7594.39550720306,2,Road Transport-dominated
1853,561500,185500,Non GLA,Non GLA,0.0,0.5386098214610405,0.0,0.0,0.0,0.0,0.0,0.0,0.3393126434905988,0.0,0.0,0.0,0.0,0.0,0.1220775350483607,0.0,0.0663194381570756,0.0148141389116769,0.0071383358933444,35.57889723920468,1,Heat and Power Generation-dominated
1854,561500,185500,Havering,Outer,0.0,0.3244618471719699,0.0,0.0,0.0,0.0,0.0,0.0,0.6385184103118798,0.0,0.0,0.0,0.0,0.0,0.0370197425161503,0.0,0.8314190469209372,0.0809780248476203,0.0670928596016154,226.0324872472371,1,Heat and Power Generation-dominated
1855,503500,184500,Non GLA,Non GLA,0.0,0.0067725791395759,0.0,0.0,0.0,0.0,0.0,0.0,0.033260433988908,0.0,9.149395996330795e-05,0.0,0.0,0.0,0.9598740603322948,1.4325792578293417e-06,20.98481859548516,4.8017381876585645,1.454101024984402,10295.96661483361,2,Road Transport-dominated
1856,505500,184500,Non GLA,Non GLA,0.0,0.0035478064636752,0.0,0.0,0.0,0.0,0.0,0.0,0.1742067120529673,0.0078628515335223,0.0010942865426575,0.0,0.0,0.0206104803981403,0.7926607290997038,1.71339093332568e-05,0.8772236090931362,0.268634380311024,0.1564465751199144,528.8649809746584,2,Road Transport-dominated
1857,505500,184500,Hillingdon,Outer,0.0010682345979303,0.0002126787825548,0.0,0.0,0.0,0.1216625513035051,0.0,0.0,0.4063405797033026,0.0021423807878485,0.0019331118229379,0.0,0.0,0.0013979178280601,0.4651726094021154,6.993577174493181e-05,20.87390218099785,4.571526727769388,2.883831507846085,12028.279540020088,2,Road Transport-dominated
1858,507500,184500,Hillingdon,Outer,0.0003220829712669,0.0023626037185086,0.0093532352045485,0.0,0.0,0.0443031134136857,0.0,0.0,0.3358813366762058,0.0003902038536745,0.0038389116769197,0.0,0.0,0.0,0.6034056509337763,0.0001428615514137,18.755181249706983,2.930891730060078,1.5714281724723789,10916.397864181396,2,Road Transport-dominated
1859,555500,184500,Havering,Outer,0.0003153802215449,0.109345624481376,0.0,0.0,0.0,0.0260170235686302,0.0,0.0,0.3635245262529761,0.0033554353037567,0.003262090592047,0.0,0.0,0.0,0.493921827132542,0.0002580924471267,2.354301092068575,0.41369958931374,0.2575197238662364,1062.9930345466746,2,Road Transport-dominated
1860,557500,184500,Non GLA,Non GLA,0.0,0.3372980226295304,0.0,0.0,0.0,0.0,0.0,0.0,0.5857621154645322,0.0,3.777877758035129e-05,0.0,0.0,0.0,0.076901486500936,5.966274211780846e-07,0.0092251593990618,0.0096855362349676,0.002068506727992,5.672200618228259,1,Heat and Power Generation-dominated
1861,557500,184500,Havering,Outer,0.0,0.1152996808659012,0.0,0.0,0.0,0.0,0.0,0.0,0.3544179128436739,0.0,0.0012615124015798,0.0,0.0,0.0,0.529001141626284,1.9752262560980668e-05,2.232785456526778,0.3809188169790863,0.2019263014933968,877.0872624858131,2,Road Transport-dominated
1862,559500,184500,Non GLA,Non GLA,0.0,0.1556000061303789,0.0,0.0,0.0,0.0,0.0,0.0,0.3051232904854441,0.0,0.0011050597014245,0.0,0.0,0.0,0.5381543411032017,1.7302579550618367e-05,0.6866656387715836,0.1336035972507871,0.0543639243151837,359.811730285233,2,Road Transport-dominated
1863,559500,184500,Havering,Outer,0.0,0.0719016965734452,0.0,0.0,0.0,0.0,0.0,0.0,0.2626148444380471,0.0,0.0005089910768502,0.0,0.0,0.0,0.6649664983067544,7.969604902962036e-06,1.3402880827569776,0.3519715356398138,0.1625522901318969,526.9688585158023,2,Road Transport-dominated
