Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2
3364,540500,173500,Lewisham,Inner,0.00027017998127409334,0.0006711719527578184,0.0,0.0,0.0,0.0,0.0,0.0,0.037860654534756406,0.0008663567503696725,0.0005110602608413155,0.0,0.0,0.0,0.9598036474206453,1.6929099355341523e-05,4.62654558678015,0.9129648593381043,0.3381672129137182,2267.8356213239217
3365,529500,182500,City of Westminster,Central,0.0,0.00819305128296325,0.0,0.0,0.0,0.0,0.0,0.0,0.9007998292068653,0.009650417952867517,9.089358927772217e-08,0.0,0.0,0.0,0.08135660922240333,1.44131137969256e-09,0.37591387416770483,0.0806881714350606,0.0709088775315543,305.94095747045895
3366,531500,182500,Camden,Central,0.0007854949584349682,0.00026880350087690134,0.0,0.0,0.0,0.019849774066842678,0.0,0.0,0.8328658472163303,0.006459657172406475,0.0,0.0,0.0,0.0,0.1397704230851087,0.0,11.457743812807829,1.2669697852942907,0.7093478579973911,8543.849886779044
3367,533500,182500,Hackney,Central,0.0,0.19185876768898666,0.0,0.0,0.0,0.0,0.0,0.0,0.20040413708926974,0.005238942336536776,0.0,0.0,0.0,0.0,0.6024981528852068,0.0,0.01605285849654811,0.010296729520764368,0.0021343201941113232,5.688680352407447
3368,533500,182500,City,Central,0.0,0.002283271158361266,0.0,0.0,0.0,0.0,0.0,0.0,0.7179510739764371,0.010163216368829959,0.0,0.0009129617637538093,0.0,0.0,0.2686894767326179,0.0,1.3488900071088674,0.10706834849871817,0.042946756081119246,787.2825324188151
3369,528500,180500,City of Westminster,Inner,0.00011673547621301916,0.00013615385182792194,0.0,0.0,0.0,0.0,0.0,0.0,0.2687773708095915,0.0385743670733805,5.112634366478915e-06,0.0,0.0,0.0,0.6923901801032407,8.00513797736548e-08,25.69912846824382,3.621424782267292,1.3802717547307837,11164.875231232985
3370,528500,180500,City of Westminster,Central,0.00035045016511725844,0.00011512147264352001,0.0,0.0,0.0,0.19245727058710632,0.0,0.0,0.570182789691906,0.04482684602202474,2.6177745209913902e-05,0.0,0.0,0.0,0.1919773594054529,6.398491053937846e-05,97.43802945346526,22.96233472731788,10.621754823112685,56374.65220468776
3371,530500,180500,Lambeth,Central,0.0004119153540849601,0.0002262841485568078,0.0,0.0,0.0,0.0,0.0,0.0,0.46319158497463975,0.013185776100197472,0.0,0.00011935470739979699,0.0,0.003999593756020299,0.5188654909591008,0.0,13.610682271278083,2.434118867332583,1.30969492403481,7695.796043463492
3372,530500,180500,Camden,Central,0.0,0.015466981295669896,0.0,0.0,0.0,0.0,0.0,0.0,0.6340009160443542,0.007839549883027536,0.0,0.0,0.0,0.0,0.3426925527769485,0.0,0.19912622832844812,0.022210834664898954,0.008107187032066568,139.47347648974522
3373,532500,180500,City,Central,0.00018796376551797779,3.6031098779576256e-05,0.0029688688883876763,0.0,0.0,0.02136737610592314,0.0,0.0,0.32945823084015385,0.005612475796329835,0.0,5.6598023223199965e-06,0.0,0.4385792732434895,0.20178412045909616,0.0,85.4784270631011,10.307500653478066,5.090123423116358,28693.159062189712
