TOID,nox,pm10,pm25,co2
osgb4000000031143074,0.039357522343746,0.004846946721134867,0.00246296762152913,18.601113496341
osgb4000000031143352,1.90264241509992,0.26016721345847027,0.1340259678231378,870.112287451184
osgb4000000031143359,0.093559885611244,0.00984709816591891,0.00534311282358883,42.5495096553303
osgb4000000031143362,0.41912606776519,0.07162793814960325,0.03527657340328648,178.214509770965
osgb4000000031143363,0.00204611744272648,0.0003702360924193313,0.00018113801245068188,0.88174260688882
osgb4000000031143365,0.0574909529384858,0.007675236891553254,0.003797457975441325,20.468161974316
osgb4000000031143366,0.0681897596871148,0.009465293288792476,0.00467182691156963,24.7522377043929
osgb4000000031143368,0.0212546228949374,0.002971950781601778,0.00146612967864977,7.73648665982222
osgb4000000031143371,0.0402457070253594,0.0065149643139849975,0.0032489295134244312,18.8711205296857
osgb4000000031143373,0.0781868516131358,0.010720559701430278,0.005283122263937403,31.5155826172819
osgb4000000031143377,0.00802463829276346,0.001148902069938286,0.0005706999657624551,3.28737266504927
osgb4000000031143379,0.0261568198744146,0.0038666620780497952,0.001936935963123618,10.4927362725565
osgb4000000031143381,0.113547301484615,0.01765387971586125,0.008777170081377659,52.6883770538053
osgb4000000031143383,0.0285951232935473,0.0029538552941308248,0.00147044407405308,9.60632670898115
osgb4000000031143385,0.00938071370803994,0.001386714827493218,0.0006946502605480029,3.76304747516718
osgb4000000031143454,0.379729510379299,0.05739182683700319,0.02826312114563958,143.895944463314
osgb4000000031143635,0.150124446599736,0.01885955170146182,0.00938970637174014,66.6753722138454
osgb4000000031143733,0.133600362263262,0.017892105322868182,0.00895894976842395,55.9938569178962
osgb4000000031143734,0.154280641417071,0.022510590677669428,0.011008727581849221,61.6715187529297
osgb4000000031143735,0.168408467749225,0.023132800752688868,0.01162649988518771,66.125970414016
osgb4000000031143736,0.0225680083840956,0.002704252578728562,0.001381622263770254,9.34990461343535
osgb4000000031143737,0.0880691890147921,0.011771801045669649,0.00577863526636726,39.4348396753199
osgb4000000031143883,0.0480076870972328,0.007107216337101104,0.0034833837435767566,19.7582831013875
osgb4000000031143884,0.0319740151598106,0.005218958915797054,0.0025942958241812254,13.5851523763891
osgb4000000031143885,0.0434861678954434,0.006475785147582935,0.0032483371265292927,19.1486959042451
osgb4000000031143887,0.0845670874980369,0.009162930334372921,0.004591005878751569,31.7621671212497
osgb4000000031143889,0.0710234201737276,0.008119000324269968,0.0040073083088834355,27.2643689140085
osgb4000000031143891,0.154653068845424,0.01481736719742645,0.00757395747041382,70.2467268555143
osgb4000000031143892,0.0563178117048829,0.003536671239446022,0.001830143616593162,23.752713380824
osgb4000000031143893,0.110102468617847,0.01121348187456809,0.00571255478185486,50.5764349211372
